Cygwin Package Information
Package                                 Version                          Status
_autorebase                             001002-1                         OK
_update-info-dir                        01379-1                          OK
aalib-devel                             1.4rc5-12                        OK
adwaita-icon-theme                      3.14.1-1                         OK
adwaita-themes                          3.14.2.3-2                       OK
alternatives                            1.3.30c-10                       OK
apache2                                 2.2.29-2                         OK
apache2-devel                           2.2.29-2                         OK
apache2-mod_apreq2                      2.13-2                           OK
apache2-mod_clamav                      0.23-1                           OK
apache2-mod_dnssd                       0.6-1                            OK
apache2-mod_geoip                       1.2.8-1                          OK
apache2-mod_mono                        2.10-1                           OK
apache2-mod_php5                        5.6.8-1                          OK
apache2-mod_python                      3.4.1-1                          OK
apache2-mod_tcl                         1.0.1-2                          OK
apng2gif                                1.5-1                            OK
apngasm                                 2.6-2                            OK
apngdis                                 2.4-1                            OK
apngopt                                 1.1-2                            OK
apngtools                               1.0-1                            OK
appdata-tools                           0.1.8-1                          OK
appstream-glib                          0.2.8-1                          OK
aria2                                   1.18.9-1                         OK
arj                                     3.10.22-1                        OK
ascal                                   0.1.1-10                         OK
asciidoc                                8.6.3-1                          OK
aspell                                  0.60.6.1-3                       OK
astyle                                  2.04-1                           OK
at-spi2-core                            2.14.1-1                         OK
atril                                   1.8.1-1                          OK
attr                                    2.4.46-1                         OK
autobuild                               5.3-1                            OK
autoconf                                13-1                             OK
autoconf-archive                        2014.10.15-1                     OK
autoconf2.1                             2.13-12                          OK
autoconf2.5                             2.69-3                           OK
autogen                                 5.18.4-1                         OK
automake                                9-1                              OK
automake1.10                            1.10.3-2                         OK
automake1.11                            1.11.6-2                         OK
automake1.12                            1.12.6-2                         OK
automake1.13                            1.13.4-1                         OK
automake1.14                            1.14.1-2                         OK
automake1.15                            1.15-1                           OK
automake1.4                             1.4p6-11                         OK
automake1.5                             1.5-11                           OK
automake1.6                             1.6.3-12                         OK
automake1.7                             1.7.9-11                         OK
automake1.8                             1.8.5-11                         OK
automake1.9                             1.9.6-11                         OK
baloo                                   4.14.3-1                         OK
base-cygwin                             3.8-1                            OK
base-files                              4.2-3                            OK
bash                                    4.3.33-1                         OK
bash-completion                         2.1-2                            OK
bashdb                                  3.1_0.09-1                       OK
bc                                      1.06.95-2                        OK
bcrypt                                  1.1-2                            OK
bind                                    9.9.7-1                          OK
bind-utils                              9.9.7-1                          OK
binutils                                2.25-1                           OK
bison                                   3.0.4-1                          OK
bmp2png                                 1.62-3                           OK
boolball                                0.6-10                           OK
build-docbook-catalog                   1.5-2                            OK
byacc                                   20120526                         OK
bzip2                                   1.0.6-2                          OK
bzr                                     2.6.0-2                          OK
bzr-fastimport                          0.13.0-2                         OK
ca-certificates                         2.3-1                            OK
caja                                    1.8.2-1                          OK
calligra-data                           2.8.7-1                          OK
calligra-libs                           2.8.7-1                          OK
ccrypt                                  1.10-1                           OK
cfv                                     1.18.3-1                         OK
chere                                   1.4-1                            OK
chicken                                 4.9.0.1-3                        OK
clang                                   3.4.2-5                          OK
clang-analyzer                          3.4.2-5                          OK
clisp                                   2.49-4.20150312hg15611           OK
clisp-clx                               2.49-4.20150312hg15611           OK
clisp-gdi                               2.49-4.20150312hg15611           OK
clisp-gtk2                              2.49-4.20150312hg15611           OK
cloog-isl                               0.18.0-2                         OK
cloog-isl-debuginfo                     0.18.0-2                         OK
cloog-ppl                               0.15.11-1                        OK
cmake                                   3.1.2-1                          OK
colordiff                               1.0.9-1                          OK
compface                                1.5.2-12                         OK
compositeproto                          0.4.2-1                          OK
coreutils                               8.23-4                           OK
cpio                                    2.11-3                           OK
cppcheck                                1.68-1                           OK
cppcheck-gui                            1.68-1                           OK
cron                                    4.1-60                           OK
crypt                                   1.2-1                            OK
csih                                    0.9.8-6                          OK
ctags                                   5.8-1                            OK
ctorrent                                1.3.4-dnh3.2-2                   OK
curl                                    7.41.0-1                         OK
cvs                                     1.12.13-10                       OK
cvs2svn                                 2.4.0-1                          OK
cvsps                                   2.2b1-1                          OK
cvsutils                                0.2.6-1                          OK
cygcheck-dep                            2.1-1                            OK
cygport                                 0.18.1-1                         OK
cygrunsrv                               1.62-1                           OK
cygutils                                1.4.14-1                         OK
cygutils-extra                          1.4.14-1                         OK
cygutils-x11                            1.4.14-1                         OK
cygwin                                  1.7.35-1                         OK
cygwin-debuginfo                        1.7.35-1                         OK
